station_name,station_num,exit_count,watercloset_inout,open_doorside,cross_platform,first_subway_time,last_subway_time
시청,2010,12,,TRUE,2,,
을지로입구,2020,,,,0,,
을지로3가,2040,,,,1,,
을지로4가,2040,,,,1,,
동대문역사문화공원,2050,,,,1,,
신당,2060,,,,1,,
상왕십리,2070,,,,1,,
왕십리,2080,,,,1,,
한양대,2090,,,,0,,
뚝섬,2100,,,,0,,
성수,2110,,,,1,1,
용답,2111,,,,1,,
신답,2112,,,,0,,
용두,2113,,,,1,,
신설동,2114,,,,1,,
건대입구,2120,,,,1,,
구의,2130,,,,0,,
강변,2140,,,,1,,
잠실나루,2150,,,,2,,
잠실,2160,,,,1,,
잠실새내,2170,,,,,,
종합운동장,2180,,,,,,
삼성,2190,,,,,,
선릉,2200,,,,,,
역삼,2210,,,,,,
강남,2220,,,,,,
교대,2230,,,,,,
서초,2240,,,,,,
방배,2250,,,,,,
사당,2260,,,,,,
낙성대,2270,,,,,,
서울대입구,2280,,,,,,
봉천,2290,,,,,,
신림,2300,,,,,,
신대방,2310,,,,,,
구로디지털단지,2320,,,,,,
대림,2330,,,,,,
신도림,2340,,,,,,
도림천,2341,,,,,,
양천구청,2342,,,,,,
신정네거리,2343,,,,,,
까치산,2344,,,,,,
문래,2350,,,,,,
영등포구청,2360,,,,,,
당산,2370,,,,,,
합정,2380,,,,,,
홍대입구,2390,,,,,,
신촌,2400,,,,,,
이대,2410,,,,,,
아현,2420,,,,,,
충정로,2430,,,,,,
