"station_code";"station_name";"station_name_eng";"station_name_chn";"station_name_jpn";"transferline1";"transferline2";"transferline3"
2010;"½ÃÃ»";"City Hall";"ã¼ôæ";"ã¼ôæ";1;0;0
2020;"À»Áö·ÎÀÔ±¸";"Euljiro 1(il)-ga";"ëàò¨ÖØìıÏ¢";"ëàò¨ÖØìıÏ¢";0;0;0
2030;"À»Áö·Î3°¡";"Euljiro 3(sam)-ga";"ëàò¨ÖØß²Ê¶";"ëàò¨ÖØ3Ê¶";5;0;0
2040;"À»Áö·Î4°¡";"Euljiro 4(sa)-ga";"ëàò¨ÖØŞÌÊ¶";"ëàò¨ÖØ4Ê¶";5;0;0
2050;"µ¿´ë¹®¿ª»ç¹®È­°ø¿ø";"Dongdaemun History  Culture Park";"ÔÔÓŞÚ¦æ¸ŞÈÙşûùÍëê®";"ÔÔÓŞÚ¦æ¸ŞÈÙşûùÍëê®";4;5;0
2060;"½Å´ç";"Sindang";"ãæÓÑ";"ãæÓÑ";6;0;0
2070;"»ó¿Õ½Ê¸®";"Sangwangsimni";"ß¾èÙä¨×ì";"ß¾èÙä¨×ì";0;0;0
2080;"¿Õ½Ê¸®";"Wangsimni";"èÙä¨×ì";"èÙä¨×ì";5;10;11
2090;"ÇÑ¾ç´ë";"Hanyang Univ.";"ùÓåÕÓŞ";"ùÓåÕÓŞ";0;0;0
2100;"¶Ò¼¶";"Ttukseom";"ÔÀÓö";"«È«¥«¯«½«à";0;0;0
2110;"¼º¼ö";"Seongsu";"á¡â©";"á¡â©";2;0;0
2111;"¿ë´ä";"Yongdap";"éÌÓÎ";"×£ÓÎ";0;0;0
2112;"½Å´ä";"Sindap";"ãæÓÎ";"ãæÓÎ";0;0;0
2113;"¿ëµÎ";"Yongdu";"éÌÔé";"×£Ôé";0;0;0
2114;"½Å¼³µ¿";"Sinseol-dong";"ãæàâÔ×";"ãæàâÔ×";14;0;0
2120;"°Ç´ëÀÔ±¸";"Konkuk Univ.";"ËïÓŞìıÏ¢";"ËïÓŞìıÏ¢";7;0;0
2130;"±¸ÀÇ";"Guui";"Îúëñ";"Îúëñ";0;0;0
2140;"°­º¯";"Gangbyeon";"Ë°Ü«";"Ë°Ü«";0;0;0
2150;"Àá½Ç³ª·ç";"Jamsillaru";"íÙãøÔ¤Ï¢";"íÙãø«Ê«ë";0;0;0
2160;"Àá½Ç";"Jamsil";"íÙãø";"íÙãø";8;0;0
2170;"Àá½Ç»õ³»";"Jamsilsaenae";"íÙãø-æ¾";"íÙãø-æ¾";0;0;0
2180;"Á¾ÇÕ¿îµ¿Àå";"Sports Complex";"ğüùêê¡ÔÑíŞ";"ğüùêê¡ÔÑíŞ";9;0;0
2190;"»ï¼º";"Samseong";"ß²à÷";"ß²à÷";0;0;0
2200;"¼±¸ª";"Seolleung";"à¾×Õ";"à¾×Õ";11;0;0
2210;"¿ª»ï";"Yeoksam";"æ¾ß²";"æ¾ß²";0;0;0
2220;"°­³²";"Gangnam";"Ë°Ñõ";"Ë°Ñõ";13;0;0
2230;"±³´ë";"Seoul Nat`l Univ. of Education";"ÎçÓŞ";"ÎçÓŞ";3;0;0
2240;"¼­ÃÊ";"Seocho";"ßúõ®";"ßúõ®";0;0;0
2250;"¹æ¹è";"Bangbae";"Û°ÛÎ";"Û°ÛÎ";0;0;0
2260;"»ç´ç";"Sadang";"ŞìÓÑ";"ŞìÓÑ";4;0;0
2270;"³«¼º´ë";"Nakseongdae";"ÑæàøÓÜ";"ÑæàøÓÜ";0;0;0
2280;"¼­¿ï´ëÀÔ±¸";"Seoul Nat`l Univ.";"âÏì³ÓŞìıÏ¢";"«½«¦«ëÓŞìıÏ¢";0;0;0
2290;"ºÀÃµ";"Bongcheon";"Üåô¸";"Üåô¸";0;0;0
2300;"½Å¸²";"Sillim";"ãæ×ù";"ãæ×ù";15;0;0
2310;"½Å´ë¹æ";"Sindaebang";"ãæÓŞÛ°";"ãæÓŞÛ°";0;0;0
2320;"±¸·ÎµğÁöÅĞ´ÜÁö";"Guro Digital Complex";"ÎúÖÕâ¦Ø§Ó¥ò¢";"ÎúÖÕ«Ç«¸«¿«ë£¿ò¢";0;0;0
2330;"´ë¸²";"Daerim";"ÓŞ×ù";"ÓŞ×ù";7;0;0
2340;"½Åµµ¸²";"Sindorim";"ãæÔ³×ù";"ãæÔ³×ù";2;0;0
2341;"µµ¸²Ãµ";"Dorimcheon";"Ô³ì÷ô¹";"Ô³×ùô¹";0;0;0
2342;"¾çÃµ±¸Ã»";"Yangcheon-gu Office";"åÕô¹Ï¡ôæ";"åÕô¹Ï¡ôæ";0;0;0
2343;"½ÅÁ¤³×°Å¸®";"Sinjeongnegeori";"ãæïÍä¨í®ÖØÏ¢";"ãæïÍ«Í«´«ê";0;0;0
2344;"±îÄ¡»ê";"Kkachisan";"ıìíÎß£";"«««Áß£";5;0;0
2350;"¹®·¡";"Mullae";"ÙşÕÎ";"ÙşÕÎ";0;0;0
2360;"¿µµîÆ÷±¸Ã»";"Yeongdeungpo-gu Office";"çµÔôøİÏ¡ôæ";"çµÔôøİÏ¡ôæ";5;0;0
2370;"´ç»ê";"Dangsan";"ÓÑß£";"ÓÑß£";9;0;0
2380;"ÇÕÁ¤";"Hapjeong";"ùêïÌ";"ùêïÌ";6;0;0
2390;"È«´ëÀÔ±¸";"Hongik Univ.";"ûğÓŞìıÏ¢";"ûğÓŞìıÏ¢";10;12;0
2400;"½ÅÃÌ";"Sinchon";"ãæõ½";"ãæõ½";0;0;0
2410;"ÀÌ´ë";"Ewha Womans Univ.";"ì±ü£Ò³í­ÓŞùÊ";"ì±ÓŞ";0;0;0
2420;"¾ÆÇö";"Ahyeon";"ä¹úÖ";"ä¹úÖ";0;0;0
2430;"ÃæÁ¤·Î";"Chungjeongno";"õ÷ïáÖØ";"õ÷ïáÖØ";5;0;0
